path,language,bytes
test.c,c,12
10-1/1/a.c,c,578
10-1/2/b.c,c,284
10-2/1/a.c,c,367
11-1/1/a.c,c,185
11-1/2/b.c,c,238
11-1/3/c.c,c,351
11-2/1/a.c,c,284
11-2/2/b.c,c,570
12-1/1/a.c,c,190
12-1/2/b.c,c,275
12-1/3/c.c,c,253
12-2/1/a.c,c,401
12-2/2/b.c,c,990
13-1/1/a.c,c,301
13-1/2/b.c,c,438
2-1/1/apple.py,py,48
2-1/2/banana.py,py,49
2-2/1/apple.py,py,206
2-2/2/banana.py,py,116
2-2/3/canada.py,py,237
3-1/1/apple.py,py,76
3-1/2/banana.py,py,100
3-1/3/cactus.py,py,120
3-1/4/deer.py,py,110
3-2/1/apple.py,py,156
3-2/2/banana.py,py,119
3-2/3/canada.py,py,128
3-2/4/deer.py,py,156
4-1/1/apple.py,py,165
4-1/2/banana.py,py,437
4-1/3/canada.py,py,347
4-2/1/apple.py,py,226
4-2/2/banana.py,py,411
4-2/3/canada.py,py,727
5-1/1/apple.py,py,466
5-1/2/banana.py,py,243
5-1/3/canada.py,py,231
5-1/4/deer.py,py,263
5-1/5/elephant.py,py,1144
6-1/2/banana.c,c,92
6-2/1/apple.c,c,140
6-2/2/banana.c,c,185
6-2/3/canada.c,c,230
6-2/4/deer.c,c,392
6-2/5/elephant.py,py,341
7-1/1/apple.c,c,134
7-1/2/banana.c,c,229
7-1/3/canada.py,py,181
7-2/1/a.c,c,199
7-2/2/b.py,py,139
7-2/3/c.c,c,295
7-2/4/d.py,py,237
8-1/1/a.c,c,581
8-1/2/b.c,c,340
8-1/3/c.c,c,162
8-1/4/d.py,py,127
8-2/1/a.c,c,257
8-2/2/b.c,c,205
8-2/3/c.py,py,156
8-2/4/d.c,c,263
8-2/5/e.py,py,212
9-1/1/a.c,c,153
9-1/2/b.c,c,527
9-1/3/c.c,c,146
9-2/1/a.c,c,397
9-2/2/b.c,c,339
9-2/3/c.c,c,311
